feed_id,seller_id,product_id,sku,product_name,category,brand,mrp,selling_price,inventory,currency,seller_status,last_updated
F0011319,S0084,P003091,S0084-P003091,UrbanKart Football,Sports,UrbanKart,17432.65,12931.27,38.0,INR,active,2026-09-08 18:00:00
F0007956,S0001,P000787,S0001-P000787,Zenith Face Wash,Beauty,Zenith,9218.88,8566.65,35.0,INR,active,2026-08-10 00:00:00
F0008699,S0078,P002229,S0078-P002229,Orion Perfume,Beauty,Orion,11407.44,10424.05,27.0,INR,active,2026-08-17 18:00:00
F0003465,S0117,P004708,S0117-P004708,Orion Shampoo,Beauty,Orion,10251.73,8398.53,40.0,INR,active,2026-08-04 00:00:00
F0007608,S0052,P000873,S0052-P000873,Prime Dumbbells,Sports,Prime,11931.68,8246.96,37.0,INR,active,2026-08-08 06:00:00
F0003007,S0055,P003199,S0055-P003199,Astra Football,Sports,Astra,11495.09,8711.29,41.0,INR,active,2026-08-21 12:00:00
F0010899,S0085,P000978,S0085-P000978,Orion Running Shoes,Sports,Orion,5790.83,4966.61,39.0,INR,active,2026-09-08 18:00:00
F0008086,S0069,P003319,S0069-P003319,Zenith Face Wash,Beauty,Zenith,1834.95,1466.19,43.0,INR,inactive,2026-08-20 06:00:00
F0005479,S0089,P001906,S0089-P001906,Orion Running Shoes,Sports,Orion,3911.69,3426.05,37.0,INR,active,2026-08-28 00:00:00
F0006958,S0085,P003598,S0085-P003598,Vertex Jeans,Fashion,Vertex,5084.87,3806.06,34.0,INR,active,2026-08-27 06:00:00
F0002358,S0093,P001303,S0093-P001303,UrbanKart Shampoo,Beauty,UrbanKart,1963.59,1463.55,42.0,INR,active,2026-08-09 12:00:00
F0003820,S0100,P001988,S0100-P001988,Orion Novel,Books,Orion,2042.01,1483.73,38.0,INR,active,2026-08-18 12:00:00
F0007853,S0088,P004029,S0088-P004029,UrbanKart Shampoo,Beauty,UrbanKart,5211.9,4887.33,35.0,INR,active,2026-08-17 06:00:00
F0004300,S0008,P003955,S0008-P003955,Nova Textbook,Books,Nova,11439.09,8048.61,35.0,INR,active,2026-08-28 12:00:00
F0008283,S0072,P002398,S0072-P002398,UrbanKart Sunscreen,Beauty,UrbanKart,343.76,276.34,45.0,INR,active,2026-08-12 18:00:00
F0009958,S0051,P003178,S0051-P003178,Orion Football,Sports,Orion,4168.62,3292.82,41.0,INR,active,2026-09-08 06:00:00
F0007976,S0061,P000185,S0061-P000185,Vertex Face Wash,Beauty,Vertex,19973.78,15164.9,38.0,INR,inactive,2026-09-10 00:00:00
F0004817,S0078,P000168,S0078-P000168,Orion Moisturizer,Beauty,Orion,1680.49,1242.02,40.0,INR,active,2026-08-03 18:00:00
F0008498,S0012,P004681,S0012-P004681,Orion Table Lamp,Home,Orion,7434.55,5874.48,31.0,INR,active,2025-12-15 00:00:00
F0005642,S0023,P003293,S0023-P003293,Vertex USB Cable,Electronics,Vertex,17104.68,12799.97,35.0,INR,active,2026-08-01 12:00:00
F0004024,S0055,P004072,S0055-P004072,Astra Shampoo,Beauty,Astra,11935.36,8834.46,33.0,INR,active,2026-09-04 00:00:00
F0007783,S0078,P003633,S0078-P003633,Zenith Face Wash,Beauty,Zenith,5262.39,4031.34,28.0,INR,active,2026-08-05 12:00:00
F0007094,S0010,P003647,S0010-P003647,Orion Biography,Books,Orion,11184.3,0.0,-5.0,INR,active,2026-08-29 06:00:00
F0004618,S0041,P002814,S0041-P002814,Vertex Bluetooth Speaker,Electronics,Vertex,7525.9,6422.69,36.0,INR,active,2026-08-23 18:00:00
F0004124,S0049,P004429,S0049-P004429,Zenith Cookbook,Books,Zenith,11349.35,8189.71,40.0,INR,active,2026-08-31 00:00:00
F0011834,S0018,P002589,S0018-P002589,Zenith Shampoo,Beauty,Zenith,851.37,695.56,21.0,INR,active,2026-08-09 12:00:00
F0010306,S0047,P002528,S0047-P002528,UrbanKart Textbook,Books,UrbanKart,12555.36,9328.35,29.0,INR,active,2026-08-02 12:00:00
F0002268,S0032,P004664,S0032-P004664,,Beauty,Nova,13231.39,10691.87,47.0,INR,active,2026-09-08 18:00:00
F0009679,S0057,P001805,S0057-P001805,Zenith Programming Book,,Zenith,7989.24,6091.96,28.0,INR,active,2026-08-03 00:00:00
F0011335,S0003,P002770,S0003-P002770,Prime Shampoo,Beauty,Prime,15517.08,11421.92,42.0,INR,active,2026-08-27 12:00:00
F0000150,S0079,P004696,S0079-P004696,UrbanKart T-Shirt,Fashion,UrbanKart,1265.33,1181.75,42.0,INR,active,2026-08-20 06:00:00
F0003679,S0064,P004056,S0064-P004056,Prime Cricket Bat,Sports,Prime,6239.34,4826.22,38.0,INR,active,2026-08-20 06:00:00
F0011781,S0042,P003626,S0042-P003626,Prime Shampoo,Beauty,Prime,14280.1,12860.03,40.0,INR,active,2026-08-10 18:00:00
F0011074,S0086,P004503,S0086-P004503,Zenith Cushion,Home,Zenith,1954.02,1473.17,45.0,INR,active,2026-09-01 00:00:00
F0007277,S0120,P000845,S0120-P000845,Zenith Shampoo,Beauty,Zenith,16931.46,14825.65,-1.0,INR,active,2026-09-03 18:00:00
F0003781,S0016,P002877,S0016-P002877,Zenith USB Cable,Electronics,Zenith,17053.47,13570.98,35.0,INR,active,2026-08-26 18:00:00
F0004654,S0022,P000343,S0022-P000343,Astra Moisturizer,Beauty,Astra,12100.44,9784.1,44.0,INR,inactive,2026-08-12 18:00:00
F0005139,S0054,P003480,S0054-P003480,Nova T-Shirt,Fashion,Nova,1245.98,1143.34,39.0,INR,active,2026-08-05 06:00:00
F0008396,S0015,P002766,S0015-P002766,Orion Jacket,Fashion,Orion,18156.66,13436.31,43.0,INR,active,2026-08-04 00:00:00
F0004955,S0004,P001993,S0004-P001993,Orion Sneakers,Fashion,Orion,10493.76,7888.16,32.0,INR,active,2026-09-01 18:00:00
F0003651,S0086,P004206,S0086-P004206,Astra Programming Book,Books,Astra,16350.67,11773.87,42.0,INR,active,2026-08-22 06:00:00
F0004722,S0115,P004313,S0115-P004313,Zenith Jeans,Fashion,Zenith,4339.98,3336.32,34.0,INR,active,2026-08-30 06:00:00
F0000614,S0085,P001202,S0085-P001202,Zenith Bedsheet,Home,Zenith,1357.06,1010.92,45.0,INR,active,2026-08-23 12:00:00
F0007999,S0008,P004524,S0008-P004524,Vertex Perfume,Beauty,Vertex,6339.93,4609.48,35.0,INR,active,2026-08-16 12:00:00
F0006659,S0119,P003663,S0119-P003663,Vertex Sneakers,Fashion,Vertex,12315.28,9477.14,41.0,INR,active,2026-08-17 18:00:00
F0011735,S0072,P004285,S0072-P004285,Nova Textbook,Books,Nova,12414.86,8673.66,40.0,INR,active,2026-08-18 12:00:00
F0011106,S0115,P004178,S0115-P004178,Zenith Table Lamp,Home,Zenith,6209.46,4336.7,27.0,INR,active,2026-08-29 18:00:00
F0006238,S0018,P000228,S0018-P000228,Zenith Biography,Books,Zenith,18076.23,14200.94,39.0,INR,active,2026-08-03 12:00:00
F0008843,S0029,P000236,S0029-P000236,Astra Jacket,Fashion,Astra,9913.2,7474.92,29.0,INR,active,2026-09-06 06:00:00
F0006086,S0053,P001677,S0053-P001677,Zenith Sneakers,Fashion,Zenith,742.5,633.33,41.0,INR,active,2026-08-20 06:00:00
F0007268,S0096,P004432,S0096-P004432,Prime Textbook,Books,Prime,9439.52,8739.78,50.0,INR,active,2026-08-16 12:00:00
F0009469,S0017,P002834,S0017-P002834,UrbanKart Jeans,Fashion,UrbanKart,6533.79,456.87,26.0,INR,active,2026-09-01 18:00:00
F0001189,S0082,P003259,S0082-P003259,Orion Table Lamp,Home,Orion,16176.07,12016.62,30.0,INR,active,2026-08-17 06:00:00
F0007736,S0056,P000639,S0056-P000639,Vertex Wireless Earbuds,Electronics,Vertex,5963.94,4674.68,31.0,INR,active,2026-09-09 18:00:00
F0007088,S0016,P002939,S0016-P002939,UrbanKart Dumbbells,Sports,UrbanKart,14664.76,12760.38,33.0,INR,active,2026-09-01 06:00:00
F0008806,S0047,P003904,S0047-P003904,UrbanKart Sneakers,Fashion,UrbanKart,4743.22,3984.3,36.0,INR,active,2026-08-07 18:00:00
F0007960,S0102,P004039,S0102-P004039,Astra Bluetooth Speaker,Electronics,Astra,5864.27,5088.4,40.0,INR,active,2026-09-03 00:00:00
F0001748,S0120,P001763,S0120-P001763,Orion Jacket,Fashion,Orion,408.85,385.96,34.0,INR,active,2026-08-08 18:00:00
F0009528,S0048,P000192,S0048-P000192,Nova Moisturizer,Beauty,Nova,10074.41,7445.51,48.0,INR,active,2026-08-14 18:00:00
F0009584,S0053,P000039,S0053-P000039,Astra Jeans,Fashion,Astra,17659.57,13688.44,46.0,INR,active,2026-08-11 18:00:00
F0001702,S0101,P003474,S0101-P003474,Nova Novel,Books,Nova,725.27,647.93,43.0,INR,active,2026-09-05 12:00:00
F0006735,S0115,P003754,S0115-P003754,Astra Perfume,Beauty,Astra,15781.9,14854.89,34.0,INR,active,2026-09-05 00:00:00
F0007683,S0107,P003096,S0107-P003096,Vertex Programming Book,Books,Vertex,2965.82,2430.03,48.0,INR,active,2026-08-26 12:00:00
F0002125,S0089,P002123,S0089-P002123,Orion Yoga Mat,Sports,Orion,14712.83,10464.29,35.0,INR,active,2026-09-09 06:00:00
F0000773,S0021,P001530,S0021-P001530,Astra T-Shirt,Fashion,Astra,6783.82,5453.17,35.0,INR,active,2026-08-11 12:00:00
F0004505,S0084,P001407,S0084-P001407,Prime Moisturizer,Beauty,Prime,9312.55,7608.83,40.0,INR,active,2026-08-02 12:00:00
F0008811,S0088,P003919,S0088-P003919,Zenith Novel,Books,Zenith,12969.02,9995.98,-1.0,INR,active,2026-08-22 06:00:00
F0008355,S0064,P000793,S0064-P000793,Zenith Sunscreen,Beauty,Zenith,5549.9,4665.39,31.0,INR,active,2026-08-27 06:00:00
F0000201,S0063,P004207,S0063-P004207,Zenith Face Wash,Beauty,Zenith,14647.66,10558.31,35.0,INR,active,2026-09-01 00:00:00
F0006952,S0090,P002619,S0090-P002619,Nova Power Bank,Electronics,Nova,16841.57,14085.28,32.0,INR,active,2026-08-23 00:00:00
F0003943,S0084,P004129,S0084-P004129,Orion Cricket Bat,Sports,Orion,13050.94,11211.28,36.0,INR,active,2026-09-01 18:00:00
F0004076,S0007,P004449,S0007-P004449,Vertex Backpack,Fashion,Vertex,21087.32,15436.34,33.0,INR,active,2026-09-03 18:00:00
F0004880,S0047,P004136,S0047-P004136,UrbanKart Dumbbells,Sports,UrbanKart,16128.88,14377.94,38.0,INR,active,2026-08-31 18:00:00
F0006194,S0115,P003694,S0115-P003694,Astra Storage Box,Home,Astra,2343.83,2068.29,27.0,INR,active,2026-08-07 06:00:00
F0009690,S0038,P004479,S0038-P004479,UrbanKart Table Lamp,Home,UrbanKart,12872.1,-100.0,41.0,INR,active,2026-08-09 12:00:00
F0003442,S0026,P001822,S0026-P001822,Nova Perfume,Beauty,Nova,8928.32,8201.94,45.0,INR,active,2026-09-03 00:00:00
F0003474,S0064,P002109,S0064-P002109,Orion Power Bank,Electronics,Orion,12416.95,10698.46,26.0,INR,active,2026-09-09 00:00:00
F0008014,S0085,P000724,S0085-P000724,Astra Programming Book,Books,Astra,14137.57,11599.74,39.0,INR,active,2026-08-21 18:00:00
F0011358,S0006,P002234,S0006-P002234,Orion Bluetooth Speaker,Electronics,Orion,621.76,589.89,36.0,INR,active,2026-08-27 18:00:00
F0000386,S0035,P002159,S0035-P002159,Prime Shampoo,Beauty,Prime,9418.95,7895.21,30.0,INR,active,2026-09-06 12:00:00
F0008423,S0112,P003338,S0112-P003338,Orion Sneakers,Fashion,Orion,12243.51,11579.02,31.0,INR,active,2026-08-01 12:00:00
F0002423,S0064,P004565,S0064-P004565,Prime Perfume,Beauty,Prime,6705.05,5501.26,35.0,INR,active,2026-08-29 06:00:00
F0001454,S0117,P004005,S0117-P004005,Astra Moisturizer,Beauty,Astra,13941.88,11693.89,38.0,INR,active,2026-08-10 18:00:00
F0004683,S0059,P001302,S0059-P001302,Astra Yoga Mat,Sports,Astra,19701.58,13716.79,48.0,INR,active,2026-08-31 12:00:00
F0008914,S0118,P002199,S0118-P002199,Vertex Face Wash,Beauty,Vertex,5733.83,4133.07,34.0,INR,active,2026-08-17 06:00:00
F0001733,S0040,P004156,S0040-P004156,Vertex Storage Box,Home,Vertex,7175.38,5320.94,28.0,INR,active,2026-08-27 12:00:00
F0007417,S0068,P004874,S0068-P004874,Vertex Sunscreen,Beauty,Vertex,13170.59,10569.17,26.0,INR,active,2026-08-25 06:00:00
F0003774,S0107,P001100,S0107-P001100,Vertex Perfume,Beauty,Vertex,16490.53,13045.21,34.0,INR,active,2025-12-15 00:00:00
F0001826,S0111,P003321,S0111-P003321,,Books,Orion,4106.49,,32.0,INR,active,2026-09-06 12:00:00
F0005546,S0090,P000760,S0090-P000760,Orion Programming Book,Books,Orion,17723.32,14261.62,38.0,INR,active,2026-08-30 00:00:00
F0000812,S0048,P002586,S0048-P002586,UrbanKart Smart Watch,Electronics,UrbanKart,13825.2,10228.73,34.0,INR,active,2026-08-17 06:00:00
F0002685,S0059,P004187,S0059-P004187,Orion Moisturizer,Beauty,Orion,10546.84,9495.93,29.0,INR,active,2026-08-27 06:00:00
F0009635,S0083,P004417,S0083-P004417,Nova Backpack,Fashion,Nova,3804.1,2914.9,35.0,INR,active,2026-08-28 18:00:00
F0007728,S0075,P001312,S0075-P001312,,Home,UrbanKart,10239.59,7769.41,,INR,active,2026-09-02 06:00:00
F0008378,S0088,P004707,S0088-P004707,UrbanKart Power Bank,Electronics,UrbanKart,11955.18,9999.83,42.0,INR,active,2026-08-13 12:00:00
F0002317,S0016,P001339,S0016-P001339,Zenith Football,Sports,Zenith,8299.11,6738.85,23.0,INR,active,2026-08-23 06:00:00
F0009531,S0046,P003441,S0046-P003441,Prime Cookware Set,Home,Prime,10182.4,7279.02,33.0,INR,active,2026-08-10 06:00:00
F0002715,S0006,P002872,S0006-P002872,,Sports,Prime,1388.5,1267.54,25.0,INR,active,2026-08-24 12:00:00
F0006823,S0113,P002341,S0113-P002341,Zenith Power Bank,Electronics,Zenith,5819.86,4805.15,30.0,INR,active,2026-08-25 12:00:00
F0001400,S0023,P004398,S0023-P004398,Vertex Biography,Books,Vertex,7687.7,5888.8,23.0,INR,active,2026-08-23 00:00:00
F0000971,S0091,P001611,S0091-P001611,UrbanKart Face Wash,Beauty,UrbanKart,10567.75,7342.62,38.0,INR,active,2026-08-22 18:00:00
F0006324,S0077,P000046,S0077-P000046,Vertex Running Shoes,Sports,Vertex,20706.37,-100.0,29.0,INR,active,2026-08-27 06:00:00
F0000534,S0026,P000649,S0026-P000649,Orion Bedsheet,Home,Orion,652.66,567.39,41.0,INR,active,2026-08-05 00:00:00
F0005503,S0085,P002010,S0085-P002010,Orion Programming Book,Books,Orion,1985.43,1632.58,30.0,INR,active,2026-09-03 12:00:00
F0005466,S0056,P001500,S0056-P001500,Nova Bedsheet,Home,Nova,8544.15,8012.1,26.0,INR,active,2026-08-30 00:00:00
F0000071,S0089,P001700,S0089-P001700,Nova Dumbbells,Sports,Nova,2524.12,2198.39,33.0,INR,active,2026-09-07 12:00:00
F0005853,S0104,P004953,S0104-P004953,Zenith Backpack,Fashion,Zenith,2322.52,2013.5,30.0,INR,active,2026-08-02 00:00:00
F0011709,S0050,P001374,S0050-P001374,Astra Jacket,Fashion,Astra,397.16,326.55,34.0,INR,active,2026-08-10 18:00:00
F0006736,S0044,P001231,S0044-P001231,Nova Yoga Mat,Sports,Nova,13196.28,9270.25,31.0,INR,active,2026-08-27 12:00:00
F0007932,S0074,P000697,S0074-P000697,Orion Wireless Earbuds,Unknown,Orion,160.968,268.28,43.0,INR,inactive,2026-08-29 06:00:00
F0007785,S0063,P004636,S0063-P004636,Nova Cricket Bat,Sports,Nova,3742.98,3114.2,37.0,INR,active,2026-08-07 18:00:00
F0005903,S0054,P004727,S0054-P004727,Vertex Novel,Books,Vertex,10811.42,7938.07,39.0,INR,active,2026-08-18 12:00:00
F0002589,S0110,P003131,S0110-P003131,Zenith Moisturizer,Beauty,Zenith,3500.56,2817.51,32.0,INR,active,2026-09-08 00:00:00
F0002628,S0083,P000767,S0083-P000767,Orion Wireless Earbuds,Electronics,Orion,4326.43,3597.66,32.0,INR,inactive,2026-09-05 00:00:00
F0011615,S0008,P001028,S0008-P001028,Prime Sunscreen,Beauty,Prime,15285.37,11801.34,38.0,INR,active,2026-09-08 12:00:00
F0008638,S0088,P001282,S0088-P001282,Astra Bedsheet,Home,Astra,4841.38,3826.38,45.0,INR,active,2026-08-30 12:00:00
F0007989,S0049,P003775,S0049-P003775,,Fashion,Zenith,3059.61,2837.28,41.0,INR,active,2026-09-09 06:00:00
F0008282,S0037,P004486,S0037-P004486,Prime Sunscreen,Beauty,Prime,6224.8,4993.89,35.0,INR,active,2026-08-19 06:00:00
F0000358,S0024,P003401,S0024-P003401,Astra Bluetooth Speaker,Electronics,Astra,16224.59,12185.22,29.0,INR,active,2026-08-18 18:00:00
F0005514,S0015,P003851,S0015-P003851,Orion Power Bank,Electronics,Orion,14428.57,12516.03,23.0,INR,active,2026-08-03 12:00:00
F0003972,S0019,P004336,S0019-P004336,Vertex Moisturizer,Beauty,Vertex,17519.02,15422.77,35.0,INR,active,2026-08-16 18:00:00
F0006628,S0038,P002207,S0038-P002207,Orion Power Bank,Electronics,Orion,5685.05,5229.76,38.0,INR,active,2026-08-22 00:00:00
F0008224,S0083,P003495,S0083-P003495,Nova Programming Book,Books,Nova,11251.34,7957.15,33.0,INR,active,2026-09-07 06:00:00
F0010167,S0026,P000879,S0026-P000879,UrbanKart Running Shoes,Sports,UrbanKart,5192.92,4421.47,41.0,INR,active,2026-08-15 12:00:00
F0005763,S0011,P001204,S0011-P001204,Zenith Bedsheet,Home,Zenith,11620.61,10843.52,36.0,INR,active,2026-09-09 00:00:00
F0011628,S0018,P001920,S0018-P001920,Prime Cookbook,Books,Prime,8983.8,6212.67,45.0,INR,active,2026-08-31 12:00:00
F0008304,S0049,P004702,S0049-P004702,Vertex Programming Book,Books,Vertex,4194.29,3116.59,33.0,INR,inactive,2026-08-20 12:00:00
F0011659,S0112,P002771,S0112-P002771,Astra Cookbook,Books,Astra,11779.25,8701.77,40.0,INR,active,2026-08-02 18:00:00
F0004829,S0052,P003797,S0052-P003797,Prime Power Bank,Electronics,Prime,12573.38,9530.23,39.0,INR,active,2026-08-12 18:00:00
F0009516,S0116,P001114,S0116-P001114,Vertex Programming Book,Books,Vertex,20254.78,14321.18,30.0,INR,active,2026-08-10 12:00:00
F0006761,S0081,P001583,S0081-P001583,Orion Running Shoes,Sports,Orion,11855.83,9601.27,41.0,INR,active,2026-08-24 06:00:00
F0002885,S0116,P004614,S0116-P004614,UrbanKart Backpack,Fashion,UrbanKart,13343.19,12703.3,54.0,INR,active,2026-08-17 00:00:00
F0007175,S0115,P002351,S0115-P002351,Vertex Football,Sports,Vertex,13325.78,9196.57,41.0,INR,active,2026-08-29 18:00:00
F0010475,S0091,P000817,S0091-P000817,Orion Table Lamp,Home,Orion,16170.52,15006.02,39.0,INR,active,2025-12-15 00:00:00
F0000488,S0077,P003527,S0077-P003527,Prime Table Lamp,Home,Prime,15528.78,12337.99,27.0,INR,active,2026-09-08 00:00:00
F0010000,S0074,P000139,S0074-P000139,UrbanKart Power Bank,Electronics,UrbanKart,2857.43,2545.84,31.0,INR,active,2026-08-19 06:00:00
F0005021,S0107,P003481,S0107-P003481,Nova Textbook,Books,Nova,434.95,409.84,32.0,INR,active,2026-09-07 06:00:00
F0000219,S0074,P004794,S0074-P004794,UrbanKart Bedsheet,Home,UrbanKart,9545.97,6792.12,40.0,INR,active,2026-09-07 00:00:00
F0002953,S0028,P001104,S0028-P001104,UrbanKart Novel,Books,UrbanKart,12032.74,11287.35,33.0,INR,active,2026-09-01 06:00:00
F0003232,S0107,P002647,S0107-P002647,Prime Face Wash,Beauty,Prime,1663.3,1190.64,20.0,INR,active,2026-08-26 06:00:00
F0010718,S0015,P001166,S0015-P001166,Astra USB Cable,Electronics,Astra,10229.0,9327.25,40.0,INR,active,2026-09-09 00:00:00
F0010781,S0062,P003235,S0062-P003235,,Electronics,Astra,11865.24,10544.41,33.0,INR,active,2026-09-05 18:00:00
F0009312,S0105,P004426,S0105-P004426,Prime Biography,Books,Prime,16830.26,12513.27,44.0,INR,active,2026-08-12 18:00:00
F0001218,S0072,P002949,S0072-P002949,Vertex Cookware Set,Home,Vertex,13466.32,10474.89,36.0,INR,active,2026-08-13 06:00:00
